alpha,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,0.8,9014.3828125,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.0,0.85,9019.279296875,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.0,0.9,9020.79296875,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.0,0.92,9031.625,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.0,0.94,9126.8076171875,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.0,0.96,9128.0556640625,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.0,0.97,9129.0576171875,0.109375,1.0,0.05785123966942149,7,0,114
0.0,0.98,9149.4892578125,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.0,0.99,9193.7119140625,0.048387096774193554,1.0,0.024793388429752067,3,0,118
0.2,0.8,9021.6357421875,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.2,0.85,9026.451171875,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.2,0.9,9027.833984375,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.2,0.92,9038.6025390625,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.2,0.94,9133.9921875,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.2,0.96,9135.2705078125,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.2,0.97,9136.111328125,0.109375,1.0,0.05785123966942149,7,0,114
0.2,0.98,9156.587890625,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.2,0.99,9200.869140625,0.048387096774193554,1.0,0.024793388429752067,3,0,118
0.4,0.8,9028.7841796875,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.4,0.85,9033.5810546875,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.4,0.9,9034.8466796875,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.4,0.92,9045.580078125,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.4,0.94,9141.1767578125,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.4,0.96,9142.4423828125,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.4,0.97,9143.12890625,0.109375,1.0,0.05785123966942149,7,0,114
0.4,0.98,9163.71484375,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.4,0.99,9208.02734375,0.048387096774193554,1.0,0.024793388429752067,3,0,118
0.5,0.8,9032.357421875,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.5,0.85,9037.0546875,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.5,0.9,9038.3515625,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.5,0.92,9049.0693359375,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.5,0.94,9144.7685546875,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.5,0.96,9146.0283203125,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.5,0.97,9146.6376953125,0.109375,1.0,0.05785123966942149,7,0,114
0.5,0.98,9167.2763671875,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.5,0.99,9211.60546875,0.048387096774193554,1.0,0.024793388429752067,3,0,118
0.6,0.8,9035.9326171875,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.6,0.85,9040.5146484375,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.6,0.9,9041.873046875,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.6,0.92,9052.55859375,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.6,0.94,9148.2890625,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.6,0.96,9149.6142578125,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.6,0.97,9150.146484375,0.109375,1.0,0.05785123966942149,7,0,114
0.6,0.98,9170.8408203125,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.6,0.99,9215.1845703125,0.048387096774193554,1.0,0.024793388429752067,3,0,118
0.8,0.8,9043.080078125,0.5333333333333333,1.0,0.36363636363636365,44,0,77
0.8,0.85,9047.41015625,0.42857142857142855,1.0,0.2727272727272727,33,0,88
0.8,0.9,9048.9912109375,0.3076923076923077,1.0,0.18181818181818182,22,0,99
0.8,0.92,9059.5615234375,0.2589928057553957,1.0,0.1487603305785124,18,0,103
0.8,0.94,9155.2978515625,0.2074074074074074,1.0,0.11570247933884298,14,0,107
0.8,0.96,9156.6806640625,0.13846153846153847,1.0,0.0743801652892562,9,0,112
0.8,0.97,9157.3125,0.109375,1.0,0.05785123966942149,7,0,114
0.8,0.98,9177.9853515625,0.07936507936507936,1.0,0.04132231404958678,5,0,116
0.8,0.99,9222.341796875,0.048387096774193554,1.0,0.024793388429752067,3,0,118
1.0,0.8,9050.228515625,0.5333333333333333,1.0,0.36363636363636365,44,0,77
1.0,0.85,9054.271484375,0.42857142857142855,1.0,0.2727272727272727,33,0,88
1.0,0.9,9056.11328125,0.3076923076923077,1.0,0.18181818181818182,22,0,99
1.0,0.92,9066.669921875,0.2589928057553957,1.0,0.1487603305785124,18,0,103
1.0,0.94,9162.3076171875,0.2074074074074074,1.0,0.11570247933884298,14,0,107
1.0,0.96,9163.7392578125,0.13846153846153847,1.0,0.0743801652892562,9,0,112
1.0,0.97,9164.376953125,0.109375,1.0,0.05785123966942149,7,0,114
1.0,0.98,9185.220703125,0.07936507936507936,1.0,0.04132231404958678,5,0,116
1.0,0.99,9229.4990234375,0.048387096774193554,1.0,0.024793388429752067,3,0,118
